,0
i_day_diffTime_last,222
item_sales_level,193
minute,187
i_day_diffTime_first,178
item_mean_age,163
shop_mean_age,155
brand_mean_age,153
mapmin,153
item_city_id,152
shop_day_active_user,150
user_star_level,140
brand_mean_hour,139
item_category_1,135
item_mean_hour,129
shop_score_delivery,121
shop_mean_hour,120
item_id_nexttime_diff,116
shop_score_description,116
user_age_level,113
brand_day_active_user,111
item_id_lasttime_diff,111
u_day_diffTime_last,107
shop_hour_active_user,100
item_day_active_user,100
shop_review_num_level,95
item_price_level,95
context_page_id,94
shop_score_service,94
item_collected_level,87
shop_review_positive_rate,87
item_pv_level,86
item_maphour_cnt_ratio,85
item_category_2,79
shop_star_level,63
user_occupation_id,62
item_hour_active_user,56
user_mean_hour,52
u_day_diffTime_first,41
hour,33
user_gender_id,31
s_day_diffTime_first,29
user_day_active_brand,23
user_id_lasttime_diff,21
user_id_nexttime_diff,16
user_day_active_shop,16
click_user_lab,16
user_hour_cnt_ratio,11
s_day_diffTime_last,10
click_user_city_lab,10
click_user_item_lab,10
b_day_diffTime_first,8
user_day_active_city,8
b_day_diffTime_last,7
user_hour_active_brand,7
click_user_brand_lab,1
same_time_expo_cnt,1
user_maphour_cnt_ratio,1
user_active_hour,1
item_category_0,0
maphour,0
click_user_shop_lab,0
user_mean_age,0
