,0
item_sales_level,169
minute,165
shop_day_active_user,110
day_x,110
item_mean_hour,105
shop_mean_hour,103
item_mean_age,98
item_id_nexttime_diff,97
shop_score_description,94
item_maphour_cnt_ratio,92
brand_mean_hour,89
i_day_diffTime_first,88
item_price_level,88
item_city_id,87
user_star_level,83
i_day_diffTime_last,83
brand_mean_age,83
shop_score_delivery,81
item_collected_level,80
shop_mean_age,80
item_category_1,76
item_id_lasttime_diff,73
hour,71
shop_review_positive_rate,69
mapmin,69
brand_day_active_user,63
shop_score_service,63
item_category_2,54
context_page_id,54
shop_review_num_level,50
item_pv_level,49
user_mean_hour,46
shop_star_level,39
user_age_level,34
user_occupation_id,33
item_day_active_user,29
shop_hour_active_user,19
user_gender_id,10
user_maphour_cnt_ratio,5
u_day_diffTime_last,4
u_day_diffTime_first,4
click_user_city_lab,3
user_id_lasttime_diff,3
s_day_diffTime_first,2
item_hour_active_user,2
user_hour_cnt_ratio,2
user_day_active_shop,1
user_id_nexttime_diff,1
user_hour_active_brand,1
s_day_diffTime_last,0
item_category_0,0
b_day_diffTime_last,0
b_day_diffTime_first,0
maphour,0
click_user_lab,0
click_user_shop_lab,0
click_user_brand_lab,0
click_user_item_lab,0
day_y,0
user_day_active_brand,0
user_day_active_city,0
user_active_hour,0
same_time_expo_cnt,0
user_mean_age,0
